iter	Passed	Remaining
0	177	53201
1	186	27736
2	193	19194
3	202	14970
4	221	13070
5	240	11766
6	252	10585
7	262	9576
8	269	8727
9	275	7999
10	282	7422
11	288	6933
12	295	6532
13	302	6175
14	308	5853
15	315	5597
16	321	5357
17	328	5143
18	334	4954
19	341	4787
20	348	4626
21	354	4479
22	360	4344
23	366	4218
24	373	4104
25	379	4004
26	386	3904
27	392	3811
28	398	3727
29	404	3643
30	411	3567
31	418	3502
32	424	3437
33	431	3375
34	438	3316
35	444	3261
36	451	3209
37	457	3156
38	463	3104
39	470	3055
40	476	3008
41	481	2958
42	487	2911
43	492	2867
44	499	2830
45	505	2790
46	511	2755
47	518	2719
48	524	2686
49	531	2658
50	539	2631
51	545	2603
52	552	2575
53	558	2546
54	564	2514
55	570	2484
56	576	2456
57	582	2429
58	587	2401
59	594	2376
60	600	2352
61	605	2325
62	611	2300
63	617	2275
64	622	2251
65	628	2229
66	634	2205
67	639	2182
68	645	2160
69	650	2138
70	656	2116
71	661	2095
72	667	2074
73	672	2053
74	678	2034
75	683	2015
76	689	1996
77	695	1979
78	701	1961
79	706	1942
80	712	1925
81	717	1908
82	723	1891
83	728	1874
84	734	1857
85	740	1843
86	746	1828
87	752	1812
88	757	1796
89	763	1781
90	768	1765
91	774	1750
92	780	1736
93	786	1722
94	792	1710
95	797	1695
96	803	1681
97	809	1667
98	814	1653
99	820	1640
100	825	1626
101	831	1613
102	836	1600
103	842	1586
104	848	1574
105	853	1561
106	858	1549
107	864	1536
108	870	1524
109	876	1513
110	881	1501
111	888	1490
112	893	1479
113	899	1467
114	905	1456
115	911	1446
116	917	1435
117	922	1423
118	929	1413
119	934	1402
120	940	1391
121	946	1380
122	951	1369
123	957	1359
124	963	1348
125	969	1338
126	975	1328
127	980	1318
128	986	1307
129	992	1298
130	998	1288
131	1004	1278
132	1010	1268
133	1016	1258
134	1022	1249
135	1028	1240
136	1035	1231
137	1041	1222
138	1047	1213
139	1053	1204
140	1059	1195
141	1066	1186
142	1073	1178
143	1079	1169
144	1085	1160
145	1091	1151
146	1098	1143
147	1105	1135
148	1111	1126
149	1118	1118
150	1124	1109
151	1131	1101
152	1136	1092
153	1143	1083
154	1150	1076
155	1157	1068
156	1163	1059
157	1169	1050
158	1174	1041
159	1180	1033
160	1187	1025
161	1193	1016
162	1200	1008
163	1206	1000
164	1212	992
165	1218	983
166	1224	975
167	1231	967
168	1238	959
169	1244	951
170	1251	943
171	1257	936
172	1263	927
173	1269	919
174	1275	910
175	1280	902
176	1286	893
177	1292	885
178	1297	877
179	1303	868
180	1308	860
181	1314	852
182	1319	843
183	1325	835
184	1331	827
185	1336	819
186	1343	811
187	1349	803
188	1354	795
189	1360	787
190	1366	780
191	1372	771
192	1378	764
193	1384	756
194	1389	748
195	1395	740
196	1401	733
197	1407	725
198	1413	717
199	1419	709
200	1424	701
201	1430	693
202	1436	686
203	1442	678
204	1448	671
205	1453	663
206	1459	655
207	1465	648
208	1470	640
209	1476	632
210	1482	625
211	1487	617
212	1493	610
213	1500	602
214	1506	595
215	1511	587
216	1517	580
217	1523	572
218	1529	565
219	1534	558
220	1541	550
221	1547	543
222	1552	536
223	1559	529
224	1566	522
225	1572	515
226	1579	507
227	1585	500
228	1591	493
229	1598	486
230	1604	479
231	1610	472
232	1616	464
233	1623	457
234	1629	450
235	1635	443
236	1642	436
237	1649	429
238	1656	422
239	1662	415
240	1669	408
241	1674	401
242	1680	394
243	1686	387
244	1692	379
245	1697	372
246	1703	365
247	1709	358
248	1715	351
249	1721	344
250	1726	337
251	1732	329
252	1738	322
253	1744	315
254	1749	308
255	1755	301
256	1761	294
257	1767	287
258	1772	280
259	1778	273
260	1784	266
261	1790	259
262	1796	252
263	1802	245
264	1807	238
265	1813	231
266	1819	224
267	1825	217
268	1830	210
269	1836	204
270	1841	197
271	1847	190
272	1853	183
273	1859	176
274	1864	169
275	1870	162
276	1876	155
277	1882	148
278	1888	142
279	1895	135
280	1901	128
281	1907	121
282	1912	114
283	1918	108
284	1924	101
285	1930	94
286	1936	87
287	1942	80
288	1948	74
289	1954	67
290	1959	60
291	1965	53
292	1971	47
293	1976	40
294	1982	33
295	1988	26
296	1994	20
297	2000	13
298	2006	6
299	2011	0
