feature,gain,split,gain_pct
num__doy_cos,80485.67970657349,324,11.657000452780524
num__veh_past_failure_rate,79924.78155612946,820,11.57576376548998
num__km_per_day_since_maint,72794.42097091675,688,10.543050655861803
num__age_x_km_since_maint,64322.94294643402,493,9.316099184157327
num__vehicle_age,58106.88222885132,385,8.415807071777307
num__doy_sin,51137.51188182831,435,7.406410697328758
num__days_since_last_failure,43956.06410217285,394,6.366298464640163
num__temp_30d_max,41059.61496734619,292,5.946796399189226
num__days_since_last_maintenance,28496.048943519592,312,4.127174630916784
num__km_since_last_maintenance,28122.97756767273,290,4.073141500886434
num__age_x_km30,27112.18862915039,313,3.926745680450092
num__km_last_30d,23792.269421577454,252,3.445911079227091
num__veh_failures_last_90d,19889.69937133789,216,2.880689278175011
num__km_roll30_std,15221.667405128479,223,2.204603160221126
num__log_days_since_failure,10393.29160118103,90,1.5052939273488208
num__temp_x_humidity,8373.451753616333,24,1.212754010888591
num__temp_7d_max,8183.106760025024,99,1.1851857318535173
num__month,6855.524812698364,75,0.9929077587096041
cat__season,4237.0448360443115,27,0.61366486252319
num__temp_7d_mean,4215.927080154419,53,0.6106063098605593
num__temp,3732.087089538574,24,0.5405302042695471
num__temp_dev_from_month,2999.7659978866577,50,0.4344657797894504
num__km_7d_30d_ratio,1929.0161952972412,40,0.2793856341150383
num__km_last_7d,1528.7418003082275,32,0.22141260312823163
num__is_summer,1309.4038848876953,3,0.18964518576044045
cat__vehicle_type,624.3064079284668,7,0.09042030963057822
num__temp_sq,476.74609375,10,0.06904867363940775
num__hot_days_14d,254.78579711914062,3,0.03690144834718092
num__recent_failure_90d,235.00609970092773,3,0.03403669100648919
num__humidity,184.48930168151855,7,0.026720180298843644
num__km_today,159.9942970275879,6,0.023172489810514327
num__wind_speed,137.66829872131348,4,0.019938943503720045
num__cold_days_7d,103.45429992675781,2,0.014983619762980188
num__dayofweek,48.83880043029785,2,0.007073480907470578
num__is_rain,43.91349983215332,2,0.0063601337441992235
num__is_hot,0.0,0,0.0
num__is_cold,0.0,0,0.0
num__hot_days_7d,0.0,0,0.0
num__is_precip,0.0,0,0.0
num__is_snow,0.0,0,0.0
num__km_today_vs_7davg,0.0,0,0.0
num__recent_failure_30d,0.0,0,0.0
cat__weather_type,0.0,0,0.0
